07/03/2017 19:13:10 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
07/03/2017 19:15:55 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
10/03/2017 15:02:32 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
10/03/2017 15:29:40 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
10/03/2017 15:55:46 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
10/03/2017 15:55:59 | MVCForum.Website.dll | Application_Error | MVCForum.Website.MvcApplication | 0 | A public action method 'getweather' was not found on controller 'MVCForum.Website.Controllers.HomeController'.
10/03/2017 16:19:18 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
10/03/2017 16:19:31 | MVCForum.Website.dll | Application_Error | MVCForum.Website.MvcApplication | 0 | A public action method 'getweather' was not found on controller 'MVCForum.Website.Controllers.HomeController'.
10/03/2017 16:55:48 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
10/03/2017 16:55:53 | MVCForum.Website.dll | Application_Error | MVCForum.Website.MvcApplication | 0 | A public action method 'getweather' was not found on controller 'MVCForum.Website.Controllers.HomeController'.
10/03/2017 18:34:52 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
10/03/2017 18:35:06 | MVCForum.Website.dll | Application_Error | MVCForum.Website.MvcApplication | 0 | A public action method 'getweather' was not found on controller 'MVCForum.Website.Controllers.HomeController'.
10/03/2017 18:35:24 | MVCForum.Website.dll | Application_Error | MVCForum.Website.MvcApplication | 0 | A public action method 'getweather' was not found on controller 'MVCForum.Website.Controllers.HomeController'.
10/03/2017 18:43:58 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
10/03/2017 18:44:00 | MVCForum.Website.dll | Application_Error | MVCForum.Website.MvcApplication | 0 | Multiple types were found that match the controller named 'Home'. This can happen if the route that services this request ('{controller}/{action}/{id}') does not specify namespaces to search for a controller that matches the request. If this is the case, register this route by calling an overload of the 'MapRoute' method that takes a 'namespaces' parameter.

The request for 'Home' has found the following matching controllers:
MVCForum.Website.Controllers.HomeController
NEOOG.HomeController
10/03/2017 19:14:54 | MVCForum.Website.dll | Application_Start | MVCForum.Website.MvcApplication | 0 | START APP
